Beat_Number,Time_seconds,Time_mm:ss.ms
1024,990.2012,16:30.201
1025,991.2025,16:31.202
1026,992.1617,16:32.162
1027,993.1215,16:33.121
1028,994.0795,16:34.080
1029,995.0400,16:35.040
1030,996.0405,16:36.040
1031,997.0005,16:37.000
1032,997.9597,16:37.960
1033,998.9180,16:38.918
1034,999.8780,16:39.878
1035,1000.8792,16:40.879
1036,1001.8385,16:41.838
1037,1002.7980,16:42.798
1038,1003.7560,16:43.756
1039,1004.7155,16:44.716
1040,1005.7168,16:45.717
1041,1006.6767,16:46.677
1042,1007.6358,16:47.636
1043,1008.5947,16:48.595
1044,1009.5545,16:49.554
1045,1010.5548,16:50.555
1046,1011.5145,16:51.514
1047,1012.4747,16:52.475
1048,1013.4328,16:53.433
1049,1014.3915,16:54.391
1050,1015.3940,16:55.394
1051,1016.3537,16:56.354
1052,1017.3120,16:57.312
1053,1018.2713,16:58.271
1054,1019.2302,16:59.230
